paper_title,venue,year,author_names,bibtex,abstract,pdf_url,google_search_url,source_page_url
The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training,Twelfth International Conference on Artificial Intelligence and Statistics (AISTATS) JMLR Workshop and Conference Procedings (2009) pp. 153-160,2009,Dumitru Erhan Pierre-Antoine Manzagol Yoshua Bengio Samy Bengio Pascal Vincent,@inproceedings{34923 title = {The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training} author = {Dumitru Erhan and Pierre-Antoine Manzagol and Yoshua Bengio and Samy Bengio and Pascal Vincent} year = 2009 URL = {http://jmlr.csail.mit.edu/proceedings/papers/v5/erhan09a/erhan09a.pdf} booktitle = {Twelfth International Conference on Artificial Intelligence and Statistics (AISTATS)} pages = {153--160} },Whereas theoretical work suggests that deep architectures might be more efficient at representing highly-varying functions training deep architectures was unsuccessful until the recent advent of algorithms based on unsupervised pre-training. Even though these new algorithms have enabled training deep models many questions remain as to the nature of this difficult learning problem. Answering these questions is important if learning in deep architectures is to be further improved. We attempt to shed some light on these questions through extensive simulations. The experiments confirm and clarify the advantage of unsupervised pre-training. They demonstrate the robustness of the training procedure with respect to the random initialization the positive effect of pre-training in terms of optimization and its role as a regularizer. We empirically show the influence of pre-training with respect to architecture depth model capacity and number of training examples.,http://research.google.com/pubs/archive/34923.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Difficulty+of+Training+Deep+Architectures+and+the+Effect+of+Unsupervised+Pre-Training+Erhan+Manzagol+Bengio+Bengio+Vincent,http://research.google.com/pubs/pub34923.html
PseudoID: Enhancing Privacy in Federated Login,Hot Topics in Privacy Enhancing Technologies (2010) pp. 95-107,2010,Arkajit Dey Stephen Weis,@inproceedings{36553 title = {PseudoID: Enhancing Privacy in Federated Login} author = {Arkajit Dey and Stephen Weis} year = 2010 URL = {http://www.pseudoid.net} booktitle = {Hot Topics in Privacy Enhancing Technologies} pages = {95--107} },PseudoID is a federated login system that protects users from disclosure of private login data held by identity providers. We offer a proof of concept implementation of PseudoID based on blind digital signatures that is backward-compatible with a popular federated login system named OpenID. We also propose several extensions and discuss some of the practical challenges that must be overcome to further protect user privacy in federated login systems.,http://research.google.com/pubs/archive/36553.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=PseudoID:+Enhancing+Privacy+in+Federated+Login+Dey+Weis,http://research.google.com/pubs/pub36553.html
Directly Modeling Voiced and Unvoiced Components in Speech Waveforms by Neural Networks,Proceedings of the IEEE International Conference on Acoustics Speech and Signal Processing (ICASSP) IEEE (2016) (to appear),2016,Keiichi Tokuda Heiga Zen,@inproceedings{44808 title = {Directly Modeling Voiced and Unvoiced Components in Speech Waveforms by Neural Networks} author = {Keiichi Tokuda and Heiga Zen} year = 2016 booktitle = {Proceedings of the IEEE International Conference on Acoustics Speech and Signal Processing (ICASSP)} },This paper proposes a novel acoustic model based on neural networks for statistical parametric speech synthesis. The neural network outputs parameters of a non-zero mean Gaussian process which defines a probability density function of a speech waveform given linguistic features. The mean and covariance functions of the Gaussian process represent deterministic (voiced) and stochastic (unvoiced) components of a speech waveform whereas the previous approach considered the unvoiced component only. Experimental results show that the proposed approach can generate speech waveforms approximating natural speech waveforms.,http://research.google.com/pubs/archive/44808.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Directly+Modeling+Voiced+and+Unvoiced+Components+in+Speech+Waveforms+by+Neural+Networks+Tokuda+Zen,http://research.google.com/pubs/pub44808.html
On Multiway Cut paramterized above lower bounds,IPEC 2011 (to appear),2011,Marek Cygan Marcin Pilipczuk Micha_ Pilipczuk Jakub Onufry Wojtaszczyk,@inproceedings{37467 title = {On Multiway Cut paramterized above lower bounds} author = {Marek Cygan and Marcin Pilipczuk and Micha_ Pilipczuk and Jakub Onufry Wojtaszczyk} year = 2011 URL = {http://arxiv.org/abs/1107.1585} booktitle = {IPEC 2011} },In this paper we consider two above lower bound parameterizations of Node Multiway Cut — above maximum separating cut and above a natural LP-relaxation — and prove them to be fixed-parameter tractable. Our results imply O(4^k) algorithms for Vertex Cover above Maximum Matching and Almost 2-SAT as well as a O*(2^k) algorithm for Node Multiway Cut with a standard parameterization by the solution size improving previous bounds for these problems.,http://arxiv.org/abs/1107.1585,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=On+Multiway+Cut+paramterized+above+lower+bounds+Cygan+Pilipczuk+Pilipczuk+Wojtaszczyk,http://research.google.com/pubs/pub37467.html
Show and tell: A neural image caption generator,Computer Vision and Pattern Recognition (2015),2015,Oriol Vinyals Alexander Toshev Samy Bengio Dumitru Erhan,@inproceedings{43274 title = {Show and tell: A neural image caption generator} author = {Oriol Vinyals and Alexander Toshev and Samy Bengio and Dumitru Erhan} year = 2015 URL = {http://arxiv.org/abs/1411.4555} booktitle = {Computer Vision and Pattern Recognition} },Automatically describing the content of an image is a fundamental problem in artificial intelligence that connects computer vision and natural language processing. In this paper we present a generative model based on a deep recurrent architecture that combines recent advances in computer vision and machine translation and that can be used to generate natural sentences describing an image. The model is trained to maximize the likelihood of the target description sentence given the training image. Experiments on several datasets show the accuracy of the model and the fluency of the language it learns solely from image descriptions. Our model is often quite accurate which we verify both qualitatively and quantitatively. For instance while the current state-of-the-art BLEU score (the higher the better) on the Pascal dataset is 25 our approach yields 59 to be compared to human performance around 69. We also show BLEU-1 score improvements on Flickr30k from 56 to 66 and on SBU from 19 to 28. Lastly on the newly released COCO dataset we achieve a BLEU-4 of 27.7 which is the current state-of-the-art.,http://research.google.com/pubs/archive/43274.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Show+and+tell:+A+neural+image+caption+generator+Vinyals+Toshev+Bengio+Erhan,http://research.google.com/pubs/pub43274.html
Non-Parametric Parametricity,Journal of Funcitonal Programming vol. 21 (4 & 5) (2011),2011,Georg Neis Derek Dreyer Andreas Rossberg,@article{43983 title = {Non-Parametric Parametricity} author = {Georg Neis and Derek Dreyer and Andreas Rossberg} year = 2011 URL = {http://journals.cambridge.org/action/displayIssue?decade=2010&jid=JFP&volumeId=21&issueId=4-5&iid=8368537} journal = {Journal of Funcitonal Programming} volume = {21 (4 & 5)} },Type abstraction and intensional type analysis are features seemingly at odds—type abstraction is intended to guarantee parametricity and representation independence while type analysis is inherently non-parametric. Recently however several researchers have proposed and implemented “dynamic type generation” as a way to reconcile these features. The idea is that when one defines an abstract type one should also be able to generate at run time a fresh type name which may be used as a dynamic representative of the abstract type for purposes of type analysis. The question remains: in a language with non-parametric polymorphism does dynamic type generation provide us with the same kinds of abstraction guarantees that we get from parametric polymorphism? Our goal is to provide a rigorous answer to this question. We define a step-indexed Kripke logical relation for a language with both non-parametric polymorphism (in the form of type-safe cast) and dynamic type generation. Our logical relation enables us to establish parametricity and representation independence results even in a non-parametric setting by attaching arbitrary relational interpretations to dynamically-generated type names. In addition we explore how programs that are provably equivalent in a more traditional parametric logical relation may be “wrapped” systematically to produce terms that are related by our non-parametric relation and vice versa. This leads us to develop a “polarized” variant of our logical relation which enables us to distinguish formally between positive and negative notions of parametricity.,http://research.google.com/pubs/archive/43983.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Non-Parametric+Parametricity+Neis+Dreyer+Rossberg,http://research.google.com/pubs/pub43983.html
Combinational Collaborative Filtering for Personalized Community Recommendation,ACM SIGKDD Int'l Conference on Knowledge Discovery and Data Mining (KDD) ACM (2008) pp. 115-123,2008,Wen-Yen Chen Dong Zhang Edward Chang,@inproceedings{34704 title = {Combinational Collaborative Filtering for Personalized Community Recommendation} author = {Wen-Yen Chen and Dong Zhang and Edward Chang} year = 2008 booktitle = {ACM SIGKDD Int'l Conference on Knowledge Discovery and Data Mining (KDD)} pages = {115--123} },Rapid growth in the amount of data available on social networking sites has made information retrieval increasingly challenging for users. In this paper we propose a collaborative ltering method Combinational Collaborative Filtering (CCF) to perform personalized community recommendations by considering multiple types of co-occurrences in social data at the same time. This ltering method fuses semantic and user information then applies a hybrid training strategy that combines Gibbs sampling and Expectation-Maximization algorithm. To handle the large-scale dataset parallel computing is used to speed up the model training. Through an empirical study on the Orkut dataset we show,http://research.google.com/pubs/archive/34704.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Combinational+Collaborative+Filtering+for+Personalized+Community+Recommendation+Chen+Zhang+Chang,http://research.google.com/pubs/pub34704.html
MRPSO: MapReduce Particle Swarm Optimization,Proceedings of the Genetic and Evolutionary Computation Conference (GECCO 2007) IEEE,2007,Andrew W. McNabb Christopher K. Monson Kevin D. Seppi,@inproceedings{37207 title = {MRPSO: MapReduce Particle Swarm Optimization} author = {Andrew W. McNabb and Christopher K. Monson and Kevin D. Seppi} year = 2007 booktitle = {Proceedings of the Genetic and Evolutionary Computation Conference (GECCO 2007)} },Abstract— In optimization problems involving large amounts of data such as web content commercial transaction information or bioinformatics data individual function evaluations may take minutes or even hours. Particle Swarm Optimization (PSO) must be parallelized for such functions. However large-scale parallel programs must communicate efﬁciently balance work across all processors and address problems such as failed nodes. We present MapReduce Particle Swarm Optimization (MRPSO) a PSO implementation based on the MapReduce parallel programming model. We describe MapReduce and show how PSO can be naturally expressed in this model without explicitly addressing any of the details of parallelization. We present a benchmark function for evaluating MRPSO and note that MRPSO is not appropriate for optimizing easily evaluated functions. We demonstrate that MRPSO scales to 256 processors on moderately difﬁcult problems and tolerates node failures.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=MRPSO:+MapReduce+Particle+Swarm+Optimization+McNabb+Monson+Seppi,http://research.google.com/pubs/pub37207.html
Magda: A New Language for Modularity,Lecture Notes in Computer Science Springer (2012) pp. 560-588,2012,Jarek Kusmierek Viviana Bono Mauro Mulatero,@inproceedings{40595 title = {Magda: A New Language for Modularity} author = {Jarek Kusmierek and Viviana Bono and Mauro Mulatero} year = 2012 booktitle = {Lecture Notes in Computer Science} pages = {560-588} },We introduce Magda a modularity-oriented programming language. The language features lightweight mixins as units of code reuse modular initial- ization protocols and a hygienic approach to identiers. In particular Magda's modularity guarantees that client code of a library written in Magda will never break as a consequence of any addition of members to the library's mixins.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Magda:+A+New+Language+for+Modularity+Kusmierek+Bono+Mulatero,http://research.google.com/pubs/pub40595.html
improper deep learning,The 19th International Conference on Artificial Intelligence and Statist (2016) (to appear),2016,Uri Heinemann Roi Livni Amir Globerson Gal Elidan,@inproceedings{44847 title = {improper deep learning} author = {Uri Heinemann and Roi Livni and Amir Globerson and Gal Elidan} year = 2016 booktitle = {The 19th International Conference on Artificial Intelligence and Statist} },Neural networks have recently re-emerged as a powerful hypothesis class yielding impressive classification accuracy in multiple domains. However their training is a non convex optimization problem. Here we address this difficulty by turning to ”improper learning” of neural nets. In other words we learn a classifier that is not a neural net but is competitive with the best neural net model given a sufficient number of training examples. Our approach relies on a novel kernel which integrates over the set of possible neural models. It turns out that the corresponding integral can be evaluated in closed form via a simple recursion. The learning problem is then an SVM with this kernel and a global optimum can thus be found efficiently. We also provide sample complexity results which depend on the stability of the optimal neural net.,http://research.google.com/pubs/archive/44847.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=improper+deep+learning+Heinemann+Livni+Globerson+Elidan,http://research.google.com/pubs/pub44847.html
Directly Modeling Speech Waveforms by Neural Networks for Statistical Parametric Speech Synthesis,Proceedings of the IEEE International Conference on Acoustics Speech and Signal Processing (ICASSP) IEEE (2015) pp. 4215-4219,2015,Keiichi Tokuda Heiga Zen,@inproceedings{43267 title = {Directly Modeling Speech Waveforms by Neural Networks for Statistical Parametric Speech Synthesis} author = {Keiichi Tokuda and Heiga Zen} year = 2015 booktitle = {Proceedings of the IEEE International Conference on Acoustics Speech and Signal Processing (ICASSP)} pages = {4215--4219} },This paper proposes a novel approach for directly-modeling speech at the waveform level using a neural network. This approach uses the neural network-based statistical parametric speech synthesis framework with a specially designed output layer. As acoustic feature extraction is integrated to acoustic model training it can overcome the limitations of conventional approaches such as two-step (feature extraction and acoustic modeling) optimization use of spectra rather than waveforms as targets use of overlapping and shifting frames as unit and fixed decision tree structure. Experimental results show that the proposed approach can directly maximize the likelihood defined at the waveform domain.,http://research.google.com/pubs/archive/43267.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Directly+Modeling+Speech+Waveforms+by+Neural+Networks+for+Statistical+Parametric+Speech+Synthesis+Tokuda+Zen,http://research.google.com/pubs/pub43267.html
A Subjective Study for the Design of Multi-resolution ABR Video Streams with the VP9 Codec,SPIE Electronic Imaging Human Visual Perception (2016) (to appear),2016,Chao Chen Sasi Inguva Andrew Rankin Anil Kokaram,@inproceedings{44278 title = {A Subjective Study for the Design of Multi-resolution ABR Video Streams with the VP9 Codec} author = {Chao Chen and Sasi Inguva and Andrew Rankin and Anil Kokaram} year = 2016 booktitle = {SPIE Electronic Imaging Human Visual Perception} },Adaptive bitrate (ABR) streaming is one enabling technology for video streaming over modern throughput-varying communication networks. A widely used ABR streaming method is to adapt the video bitrate to channel throughput by dynamically changing the video resolution. Since videos have different rate-quality performances at different resolutions such ABR strategy can achieve better rate-quality trade-off than single resolution ABR streaming. The key problem for resolution switched ABR is to work out the bitrate appropriate at each resolution. In this paper we investigate optimal strategies to estimate this bitrate using both quantitative and subjective quality assessment. We use the design of 2K and 4K bitrates as an example of the performance of this strategy. We introduce strategies for selecting an appropriate corpus for subjective assessment and find that at this high resolution there is good agreement between quantitative and subjective analysis.,http://research.google.com/pubs/archive/44278.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Subjective+Study+for+the+Design+of+Multi-resolution+ABR+Video+Streams+with+the+VP9+Codec+Chen+Inguva+Rankin+Kokaram,http://research.google.com/pubs/pub44278.html
Bayesian Dark Knowledge,Advances in Neural Information Processing Systems (2015),2015,Anoop Korattikara Vivek Rathod Kevin Murphy Max Welling,@inproceedings{44678 title = {Bayesian Dark Knowledge} author = {Anoop Korattikara and Vivek Rathod and Kevin Murphy and Max Welling} year = 2015 URL = {http://papers.nips.cc/paper/5965-bayesian-dark-knowledge.pdf} booktitle = {Advances in Neural Information Processing Systems} },"We consider the problem of Bayesian parameter estimation for deep neural networks which is important in problem settings where we may have little data and/ or where we need accurate posterior predictive densities e.g. for applications involving bandits or active learning. One simple approach to this is to use online Monte Carlo methods such as SGLD (stochastic gradient Langevin dynamics). Unfortunately such a method needs to store many copies of the parameters (which wastes memory) and needs to make predictions using many versions of the model (which wastes time). We describe a method for ""distilling"" a Monte Carlo approximation to the posterior predictive density into a more compact form namely a single deep neural network. We compare to two very recent approaches to Bayesian neural networks namely an approach based on expectation propagation [Hernandez-Lobato and Adams 2015] and an approach based on variational Bayes [Blundell et al. 2015]. Our method performs better than both of these is much simpler to implement and uses less computation at test time.",http://research.google.com/pubs/archive/44678.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Bayesian+Dark+Knowledge+Korattikara+Rathod+Murphy+Welling,http://research.google.com/pubs/pub44678.html
The Maximal Two-Sided Ideals of Nest Algebras,Journal of Operator Theory vol. 73:2 (2015) pp. 407-416,2015,John Lindsay Orr,@article{43797 title = {The Maximal Two-Sided Ideals of Nest Algebras} author = {John Lindsay Orr} year = 2015 journal = {Journal of Operator Theory} pages = {407-416} volume = {73:2} },We give a necessary and sufficient criterion for an operator in a nest algebra to belong to a proper two-sided ideal of that algebra. Using this result we describe the strong radical of a nest algebra and give a general description of the maximal two-sided ideals. This also enables us to provide the final piece in the complete description of epimorphisms of one nest algebra onto another.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Maximal+Two-Sided+Ideals+of+Nest+Algebras+Orr,http://research.google.com/pubs/pub43797.html
Improved Domain Adaptation for Statistical Machine Translation,AMTA-2012 The Association for Machine Translation in the Americas,2012,Wei Wang Klaus Macherey Wolfgang Macherey Franz Och Peng Xu,@inproceedings{40803 title = {Improved Domain Adaptation for Statistical Machine Translation} author = {Wei Wang and Klaus Macherey and Wolfgang Macherey and Franz Och and Peng Xu} year = 2012 URL = {http://amta2012.amtaweb.org/AMTA2012Files/papers/131.pdf} booktitle = {AMTA-2012} },We present a simple and effective infrastructure for domain adaptation for statistical machine translation (MT). To build MT systems for different domains it trains tunes and deploys a single translation system that is capable of producing adapted domain translations and preserving the original generic accuracy at the same time. The approach uni?es automatic domain detection and domain model parameterization into one system. Experiment results on 20 language pairs demonstrate its viability,http://amta2012.amtaweb.org/AMTA2012Files/papers/131.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Improved+Domain+Adaptation+for+Statistical+Machine+Translation+Wang+Macherey+Macherey+Och+Xu,http://research.google.com/pubs/pub40803.html
A Biomimetic 4.5 µW 120+dB Log-domain Cochlea Channel with AGC,IEEE JSSC (Journal of Solid-State Circuits) vol. 44 (2009) pp. 1006-1022,2009,Andreas G. Katsiamis Emmanuel M. Drakakis Richard F. Lyon,@article{33485 title = {A Biomimetic 4.5 µW 120+dB Log-domain Cochlea Channel with AGC} author = {Andreas G. Katsiamis and Emmanuel M. Drakakis and Richard F. Lyon} year = 2009 URL = {http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4787561} journal = {IEEE JSSC (Journal of Solid-State Circuits)} pages = {1006-1022} volume = {44} },This paper deals with the design and performance evaluation of a new analog CMOS cochlea channel of increased biorealism. The design implements a recently proposed transfer function namely the One-Zero Gammatone filter (or OZGF) which provides a robust foundation for modeling a variety of auditory data such as realistic passband asymmetry linear low-frequency tail and level-dependent gain. Moreover the OZGF is attractive because it can be implemented efficiently in any technological medium-analog or digital-using standard building blocks. The channel was synthesized using novel low-power class-AB log-domain biquadratic filters employing MOS transistors operating in their weak inversion regime. Furthermore the paper details the design of a new low-power automatic gain control circuit that adapts the gain of the channel according to the input signal strength thereby extending significantly its input dynamic range. We evaluate the performance of a fourth-order OZGF channel (equivalent to an 8th-order cascaded filter structure) through both detailed simulations and measurements from a fabricated chip using the commercially available 0.35 mum AMS CMOS process. The whole system is tuned at 3 kHz dissipates a mere 4.46 µW of static power accommodates 124 dB (at < 5% THD) of input dynamic range at the center frequency and is set to provide up to 70 dB of amplification for small signals.,http://research.google.com/pubs/archive/33485.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Biomimetic+4.5+%C2%B5W+120%2BdB+Log-domain+Cochlea+Channel+with+AGC+Katsiamis+Drakakis+Lyon,http://research.google.com/pubs/pub33485.html
Fast Algorithms for Finding Extremal Sets,Proc. of the 2011 SIAM Int'l Conf. on Data Mining (to appear),2011,Roberto J. Bayardo Biswanath Panda,@inproceedings{36974 title = {Fast Algorithms for Finding Extremal Sets} author = {Roberto J. Bayardo and Biswanath Panda} year = 2011 URL = {http://bayardo.org/ps/sdm2011.pdf} booktitle = {Proc. of the 2011 SIAM Int'l Conf. on Data Mining} },Identifying the extremal (minimal and maximal) sets from a collection of sets is an important subproblem in the areas of data-mining and satisﬁability checking. For example extremal set ﬁnding algorithms are used in the context of mining maximal frequent itemsets and for simplifying large propositional satisﬁability instances derived from real world tasks such as circuit routing and veriﬁcation. In this paper we describe two new algorithms for the task and detail their performance on real and synthetic data. Each algorithm leverages an entirely di_erent principle – one primarily exploits set cardinality constraints the other lexicographic constraints. Despite the inherent di_culty of this problem (the best known worst-case bounds are nearly quadratic) we show that both these algorithms provide excellent performance in practice and can identify all extremal sets from multi-gigabyte itemset data using only a single processor core. Both algorithms are concise and can be implemented in no more than a few hundred lines of code. Our reference C++ implementations are open source and available for download.,http://bayardo.org/ps/sdm2011.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Fast+Algorithms+for+Finding+Extremal+Sets+Bayardo+Panda,http://research.google.com/pubs/pub36974.html
RACEZ: A Lightweight and Non-Invasive Race Detection Tool for Production Applications,ICSE ACM (2011) pp. 401-410,2011,Tianwei Sheng Neil Vachharajani Stephane Eranian Robert Hundt,@inproceedings{37123 title = {RACEZ: A Lightweight and Non-Invasive Race Detection Tool for Production Applications} author = {Tianwei Sheng and Neil Vachharajani and Stephane Eranian and Robert Hundt} year = 2011 URL = {http://portal.acm.org/citation.cfm?doid=1985793.1985848} booktitle = {ICSE} pages = {401-410} },Concurrency bugs particularly data races are notoriously difficult to debug and are a significant source of unreliability in multithreaded applications. Many tools to catch data races rely on program instrumentation to obtain memory instruction traces. Unfortunately this instrumentation introduces significant runtime overhead is extremely invasive or has a limited domain of applicability making these tools unsuitable for many production systems. Consequently these tools are typically used during application testing where many data races go undetected. This paper proposes RACEZ a novel race detection mechanism which uses a sampled memory trace collected by the hardware performance monitoring unit rather than invasive instrumentation. The approach introduces only a modest overhead making it usable in production environments. We validate RACEZ using two open source server applications and the PARSEC benchmarks. Our experiments show that RACEZ catches a set of known bugs with reasonable probability while introducing only 2.8% runtime slow down on average.,http://research.google.com/pubs/archive/37123.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=RACEZ:+A+Lightweight+and+Non-Invasive+Race+Detection+Tool+for+Production+Applications+Sheng+Vachharajani+Eranian+Hundt,http://research.google.com/pubs/pub37123.html
The Need for Music Information Retrieval with User-Centered and Multimodal Strategies,MIRUM '11 ACM Scottsdale Arizona (2011) pp. 1-6,2011,Cynthia C.S. Liem Meinard Müller Douglas Eck George Tzanetakis Alan Hanjalic,@inproceedings{37669 title = {The Need for Music Information Retrieval with User-Centered and Multimodal Strategies} author = {Cynthia C.S. Liem and Meinard Müller and Douglas Eck and George Tzanetakis and Alan Hanjalic} year = 2011 booktitle = {MIRUM '11} pages = {1--6} address = {Scottsdale Arizona} },Music is a widely enjoyed content type existing in many multifaceted representations. With the digital information age a lot of digitized music information has theoretically become available at the user’s fingertips. However the abundance of information is too large-scaled and too diverse to annotate oversee and present in a consistent and human manner motivating the development of automated Music Information Retrieval (Music-IR) techniques. In this paper we encourage to consider music content beyond a monomodal audio signal and argue that Music-IR approaches with multimodal and user-centered strategies are necessary to serve reallife usage patterns and maintain and improve accessibility of digital music data. After discussing relevant existing work in these directions we show that the ﬁeld of Music-IR faces similar challenges as neighboring ﬁelds and thus suggest opportunities for joint collaboration and mutual inspiration.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=The+Need+for+Music+Information+Retrieval+with+User-Centered+and+Multimodal+Strategies+Liem+M%C3%BCller+Eck+Tzanetakis+Hanjalic,http://research.google.com/pubs/pub37669.html
Characterizing End-to-End Packet Reordering with UDP Traffic,IEEE Symposium on Computers and Communications (ISCC) (2009) pp. 321-324,2009,Sandra Tinta Alexander Mohr Jennifer Wong,@inproceedings{35247 title = {Characterizing End-to-End Packet Reordering with UDP Traffic} author = {Sandra Tinta and Alexander Mohr and Jennifer Wong} year = 2009 booktitle = {IEEE Symposium on Computers and Communications (ISCC)} pages = {321--324} },Packet reordering is an Internet event that degrades the performance of both TCP and UDP-based applications. In this paper we present an end-to-end measurement study of packet reordering of UDP traffic. The goal of the measurement study performed on PlanetLab was to answer four main questions: how prevalent is reordering across end-to-end paths what are the time scales of reordered packets how correlated is reordering with traffic load and does the size of a transmitted packet affect the likelihood of reordering? Overall our analysis shows that current UDP traffic reordering is consistent to prior 1990's studies on TCP traffic despite increased Internet load and technology advancements and it adds to the previous results by identifying additional reordering characteristics. More specifically we show that packet reordering is asymmetric as well as temporal and site-dependent packet size does influence the likelihood of reordering that there exists a time-of-the-day dependency and reordering primarily exists at two time-scales (a few milliseconds or multiple tens of milliseconds.),http://research.google.com/pubs/archive/35247.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Characterizing+End-to-End+Packet+Reordering+with+UDP+Traffic+Tinta+Mohr+Wong,http://research.google.com/pubs/pub35247.html
HEADS: Headline Generation as Sequence Prediction Using an Abstract Feature-Rich Space,Human Language Technologies: The 2015 Annual Conference of the North American Chapter of the ACL (NAACL'15) pp. 133-142,2015,Carlos A. Colmenares Marina Litvak Amin Mantrach Fabrizio Silvestri,@inproceedings{44650 title = {HEADS: Headline Generation as Sequence Prediction Using an Abstract Feature-Rich Space} author = {Carlos A. Colmenares and Marina Litvak and Amin Mantrach and Fabrizio Silvestri} year = 2015 URL = {http://www.aclweb.org/anthology/N15-1014} booktitle = {Human Language Technologies: The 2015 Annual Conference of the North American Chapter of the ACL (NAACL'15)} pages = {133--142} },Automatic headline generation is a sub-task of document summarization with many reported applications. In this study we present a sequence-prediction technique for learning how editors title their news stories. The introduced technique models the problem as a discrete optimization task in a feature-rich space. In this space the global optimum can be found in polynomial time by means of dynamic programming. We train and test our model on an extensive corpus of financial news and compare it against a number of baselines by using standard metrics from the document summarization domain as well as some new ones proposed in this work. We also assess the readability and informativeness of the generated titles through human evaluation. The obtained results are very appealing and substantiate the soundness of the approach.,http://research.google.com/pubs/archive/44650.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=HEADS:+Headline+Generation+as+Sequence+Prediction+Using+an+Abstract+Feature-Rich+Space+Colmenares+Litvak+Mantrach+Silvestri,http://research.google.com/pubs/pub44650.html
Asymptotic Performance of the Non-Forced Idle Time Scheduling Policies in the Presence of Variable Demand for Resources,Proceedings of the 46th Annual Conference on Communication Control and Computing (2008) pp. 499-503,2008,Ana Radovanovic Cliff Stein,@inproceedings{34721 title = {Asymptotic Performance of the Non-Forced Idle Time Scheduling Policies in the Presence of Variable Demand for Resources} author = {Ana Radovanovic and Cliff Stein} year = 2008 booktitle = {Proceedings of the 46th Annual Conference on Communication Control and Computing} pages = {499-503} },http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4797599&tag=1,http://research.google.com/pubs/archive/34721.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Asymptotic+Performance+of+the+Non-Forced+Idle+Time+Scheduling+Policies+in+the+Presence+of+Variable+Demand+for+Resources+Radovanovic+Stein,http://research.google.com/pubs/pub34721.html
Posterior Sparsity in Dependency Grammar Induction,Journal of Machine Learning Research vol. 12 (2011) pp. 455-490,2011,Jennifer Gillenwater Kuzman Ganchev Joao Graca Fernando Pereira Ben Taskar,@article{38281 title = {Posterior Sparsity in Dependency Grammar Induction} author = {Jennifer Gillenwater and Kuzman Ganchev and Joao Graca and Fernando Pereira and Ben Taskar} year = 2011 URL = {http://jmlr.csail.mit.edu/papers/v12/gillenwater11a.html} journal = {Journal of Machine Learning Research} pages = {455--490} volume = {12} },A strong inductive bias is essential in unsupervised grammar induction. In this paper we explore a particular sparsity bias in dependency grammars that encourages a small number of unique dependency types. We use part-of-speech (POS) tags to group dependencies by parent-child types and investigate sparsity-inducing penalties on the posterior distributions of parent-child POS tag pairs in the posterior regularization (PR) framework of Graça et al. (2007). In experiments with 12 different languages we achieve significant gains in directed attachment accuracy over the standard expectation maximization (EM) baseline with an average accuracy improvement of 6.5% outperforming EM by at least 1% for 9 out of 12 languages. Furthermore the new method outperforms models based on standard Bayesian sparsity-inducing parameter priors with an average improvement of 5% and positive gains of at least 1% for 9 out of 12 languages. On English text in particular we show that our approach improves performance over other state-of-the-art techniques.,http://research.google.com/pubs/archive/38281.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Posterior+Sparsity+in+Dependency+Grammar+Induction+Gillenwater+Ganchev+Graca+Pereira+Taskar,http://research.google.com/pubs/pub38281.html
